"","X","club","logo"
"1",1,"chelsea","https://tmssl.akamaized.net/images/wappen/head/631.png?lm=1444558831"
"2",2,"manchester city","https://tmssl.akamaized.net/images/wappen/head/281.png?lm=1467356331"
"3",3,"manchester united","https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903"
"4",4,"tottenham hotspur","https://tmssl.akamaized.net/images/wappen/head/148.png?lm=1544345801"
"5",5,"arsenal","https://tmssl.akamaized.net/images/wappen/head/11.png?lm=1489787850"
"6",6,"liverpool","https://tmssl.akamaized.net/images/wappen/head/31.png?lm=1456567819"
"7",7,"everton","https://tmssl.akamaized.net/images/wappen/head/29.png?lm=1445949846"
"8",8,"aston villa","https://tmssl.akamaized.net/images/wappen/head/405.png?lm=1469443765"
"9",9,"sunderland","https://tmssl.akamaized.net/images/wappen/head/289.png?lm=1485645633"
"10",10,"newcastle united","https://tmssl.akamaized.net/images/wappen/head/762.png?lm=1472921161"
"11",11,"stoke city","https://tmssl.akamaized.net/images/wappen/head/512.png?lm=1472243727"
"12",12,"fulham","https://tmssl.akamaized.net/images/wappen/head/931.png?lm=1556831687"
"13",13,"queens park rangers","https://tmssl.akamaized.net/images/wappen/head/1039.png?lm=1464680692"
"14",14,"bolton wanderers","https://tmssl.akamaized.net/images/wappen/head/355.png?lm=1407653952"
"15",15,"blackburn rovers","https://tmssl.akamaized.net/images/wappen/head/164.png?lm=1495228542"
"16",16,"wolverhampton wanderers","https://tmssl.akamaized.net/images/wappen/head/543.png?lm=1467496784"
"17",17,"west bromwich albion","https://tmssl.akamaized.net/images/wappen/head/984.png?lm=1457991758"
"18",18,"wigan athletic","https://tmssl.akamaized.net/images/wappen/head/1071.png?lm=1407653830"
"19",19,"swansea city","https://tmssl.akamaized.net/images/wappen/head/2288.png?lm=1472243738"
"20",20,"norwich city","https://tmssl.akamaized.net/images/wappen/head/1123.png?lm=1457723273"
"21",21,"west ham united","https://tmssl.akamaized.net/images/wappen/head/379.png?lm=1464675260"
"22",22,"southampton","https://tmssl.akamaized.net/images/wappen/head/180.png?lm=1444560086"
"23",23,"reading","https://tmssl.akamaized.net/images/wappen/head/1032.png?lm=1457723329"
"24",24,"cardiff city","https://tmssl.akamaized.net/images/wappen/head/603.png?lm=1478337063"
"25",25,"hull city","https://tmssl.akamaized.net/images/wappen/head/3008.png?lm=1562662491"
"26",26,"crystal palace","https://tmssl.akamaized.net/images/wappen/head/873.png?lm=1457723287"
"27",27,"leicester city","https://tmssl.akamaized.net/images/wappen/head/1003.png?lm=1472229265"
"28",28,"burnley","https://tmssl.akamaized.net/images/wappen/head/1132.png?lm=1587809239"
"29",29,"watford","https://tmssl.akamaized.net/images/wappen/head/1010.png?lm=1468103673"
"30",30,"afc bournemouth","https://tmssl.akamaized.net/images/wappen/head/989.png?lm=1457991811"
"31",31,"middlesbrough","https://tmssl.akamaized.net/images/wappen/head/641.png?lm=1443702192"
"32",32,"brighton and hove albion","https://tmssl.akamaized.net/images/wappen/head/1237.png?lm=1492718902"
"33",33,"huddersfield town","https://tmssl.akamaized.net/images/wappen/head/1110.png?lm=1567439677"
"34",34,"sheffield united","https://tmssl.akamaized.net/images/wappen/head/350.png?lm=1409254138"
